key=how   value=MapReduceAssignment/test1:36, MapReduceAssignment/test2:69, MapReduceAssignment/test3:195
key=queen   value=MapReduceAssignment/test1:48, MapReduceAssignment/test2:1, MapReduceAssignment/test3:7
key=43   value=MapReduceAssignment/test1:2
key=50   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:1, MapReduceAssignment/test3:7
key=16.   value=MapReduceAssignment/test1:31
key=iii   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:2
key=attacking   value=MapReduceAssignment/test1:18
key=18.   value=MapReduceAssignment/test1:34
key=19.   value=MapReduceAssignment/test1:30
key=iv   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=21.   value=MapReduceAssignment/test1:31
key=masse   value=MapReduceAssignment/test1:1
key=82   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1
key=24.   value=MapReduceAssignment/test1:34
key=action   value=MapReduceAssignment/test1:27, MapReduceAssignment/test3:25
key=motives   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:1
key=v   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=111   value=MapReduceAssignment/test1:1
key=position   value=MapReduceAssignment/test1:154, MapReduceAssignment/test2:6, MapReduceAssignment/test3:15
key=122   value=MapReduceAssignment/test1:1
key=two   value=MapReduceAssignment/test1:66, MapReduceAssignment/test2:129, MapReduceAssignment/test3:336
key=rook,   value=MapReduceAssignment/test1:14
key=final   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:1, MapReduceAssignment/test3:30
key=whilst   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=middle-games   value=MapReduceAssignment/test1:3
key=about   value=MapReduceAssignment/test1:18, MapReduceAssignment/test2:90, MapReduceAssignment/test3:286
key=developments   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:5
key=weakness   value=MapReduceAssignment/test1:9, MapReduceAssignment/test2:3, MapReduceAssignment/test3:7
key=p;   value=MapReduceAssignment/test1:39
key=etc.)   value=MapReduceAssignment/test1:1
key="hole"   value=MapReduceAssignment/test1:5
key=queen's   value=MapReduceAssignment/test1:51, MapReduceAssignment/test2:1, MapReduceAssignment/test3:1
key=1909)   value=MapReduceAssignment/test1:2
key=marshall.   value=MapReduceAssignment/test1:4
