key=long   value=MapReduceAssignment/test1:19, MapReduceAssignment/test2:37
key=rules   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:2
key=remain   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:2
key=they   value=MapReduceAssignment/test1:29, MapReduceAssignment/test2:303
key=reader   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:3
key=go   value=MapReduceAssignment/test1:28, MapReduceAssignment/test2:54
key=contents   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:2
key=assurance   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:2
key=he   value=MapReduceAssignment/test1:240, MapReduceAssignment/test2:814
key=nothing   value=MapReduceAssignment/test1:27, MapReduceAssignment/test2:29
key=added   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:2
key=one   value=MapReduceAssignment/test1:117, MapReduceAssignment/test2:177
key=work   value=MapReduceAssignment/test1:47, MapReduceAssignment/test2:50
key=kind   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:7
key=author   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=believes   value=MapReduceAssignment/test1:1
key=_new   value=MapReduceAssignment/test1:1
key=_sept.   value=MapReduceAssignment/test1:1
key=1934_   value=MapReduceAssignment/test1:1
key=i   value=MapReduceAssignment/test1:144, MapReduceAssignment/test2:1025
key=principles:   value=MapReduceAssignment/test1:2
key=middle-game   value=MapReduceAssignment/test1:17
key=page   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:11
key=some   value=MapReduceAssignment/test1:49, MapReduceAssignment/test2:78
key=mates   value=MapReduceAssignment/test1:11, MapReduceAssignment/test2:4
key=2.   value=MapReduceAssignment/test1:84, MapReduceAssignment/test2:1
key=promotion   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:2
key=3.   value=MapReduceAssignment/test1:96, MapReduceAssignment/test2:1
key=13   value=MapReduceAssignment/test1:7
key=winning   value=MapReduceAssignment/test1:39, MapReduceAssignment/test2:1
key=19   value=MapReduceAssignment/test1:12
key=relative   value=MapReduceAssignment/test1:8
key=pieces   value=MapReduceAssignment/test1:67, MapReduceAssignment/test2:5
key=6.   value=MapReduceAssignment/test1:52
key=strategy   value=MapReduceAssignment/test1:5
key=7.   value=MapReduceAssignment/test1:55
key=centre   value=MapReduceAssignment/test1:34, MapReduceAssignment/test2:1
key=8.   value=MapReduceAssignment/test1:50
key=32   value=MapReduceAssignment/test1:3
key=further   value=MapReduceAssignment/test1:15, MapReduceAssignment/test2:7
key=play   value=MapReduceAssignment/test1:141, MapReduceAssignment/test2:23
key=cardinal   value=MapReduceAssignment/test1:3
key=35   value=MapReduceAssignment/test1:4
key=classical   value=MapReduceAssignment/test1:3
key=37   value=MapReduceAssignment/test1:4
key=obtaining   value=MapReduceAssignment/test1:14, MapReduceAssignment/test2:2
key=40   value=MapReduceAssignment/test1:5
key=how   value=MapReduceAssignment/test1:36, MapReduceAssignment/test2:69
key=out   value=MapReduceAssignment/test1:54, MapReduceAssignment/test2:194
key=queen   value=MapReduceAssignment/test1:48, MapReduceAssignment/test2:1
key=13.   value=MapReduceAssignment/test1:36
key=43   value=MapReduceAssignment/test1:2
key=knight   value=MapReduceAssignment/test1:80, MapReduceAssignment/test2:1
key=50   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:1
key=mate   value=MapReduceAssignment/test1:49, MapReduceAssignment/test2:2
key=16.   value=MapReduceAssignment/test1:31
key=rook   value=MapReduceAssignment/test1:66
key=iii   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:2
key=win   value=MapReduceAssignment/test1:73, MapReduceAssignment/test2:2
key=attacking   value=MapReduceAssignment/test1:18
key=knights   value=MapReduceAssignment/test1:19, MapReduceAssignment/test2:1
key=18.   value=MapReduceAssignment/test1:34
key=force   value=MapReduceAssignment/test1:31, MapReduceAssignment/test2:1
key=19.   value=MapReduceAssignment/test1:30
key=attack   value=MapReduceAssignment/test1:78, MapReduceAssignment/test2:1
key=iv   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=initiative   value=MapReduceAssignment/test1:17
key=21.   value=MapReduceAssignment/test1:31
key=attacks   value=MapReduceAssignment/test1:7
key=masse   value=MapReduceAssignment/test1:1
key=22.   value=MapReduceAssignment/test1:30
key=82   value=MapReduceAssignment/test1:1
key=relinquishing   value=MapReduceAssignment/test1:3
key=24.   value=MapReduceAssignment/test1:34
key=off   value=MapReduceAssignment/test1:8, MapReduceAssignment/test2:85
key=action   value=MapReduceAssignment/test1:27
key=25.   value=MapReduceAssignment/test1:29
