key=everything   value=MapReduceAssignment/test1:4, MapReduceAssignment/test3:46, MapReduceAssignment/test2:1
key=nothing   value=MapReduceAssignment/test1:27, MapReduceAssignment/test3:123, MapReduceAssignment/test2:29
key=changed.   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:2
key=work   value=MapReduceAssignment/test1:47, MapReduceAssignment/test3:102, MapReduceAssignment/test2:50
key=ago   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:26, MapReduceAssignment/test2:9
key=believes   value=MapReduceAssignment/test1:1
key=york_   value=MapReduceAssignment/test1:1
key=1934_   value=MapReduceAssignment/test1:1
key=chapter   value=MapReduceAssignment/test1:12, MapReduceAssignment/test3:2, MapReduceAssignment/test2:1
key=middle-game   value=MapReduceAssignment/test1:17
key=1.   value=MapReduceAssignment/test1:92, MapReduceAssignment/test3:2, MapReduceAssignment/test2:1
key=mates   value=MapReduceAssignment/test1:11, MapReduceAssignment/test3:1, MapReduceAssignment/test2:4
key=pawn   value=MapReduceAssignment/test1:164
key=3.   value=MapReduceAssignment/test1:96, MapReduceAssignment/test3:2, MapReduceAssignment/test2:1
key=4.   value=MapReduceAssignment/test1:83, MapReduceAssignment/test3:1, MapReduceAssignment/test2:1
key=19   value=MapReduceAssignment/test1:12, MapReduceAssignment/test3:4
key=value   value=MapReduceAssignment/test1:18, MapReduceAssignment/test3:10, MapReduceAssignment/test2:1
key=6.   value=MapReduceAssignment/test1:52, MapReduceAssignment/test3:1
key=25   value=MapReduceAssignment/test1:10, MapReduceAssignment/test3:4
key=centre   value=MapReduceAssignment/test1:34, MapReduceAssignment/test3:17, MapReduceAssignment/test2:1
key=traps   value=MapReduceAssignment/test1:4
key=further   value=MapReduceAssignment/test1:15, MapReduceAssignment/test3:29, MapReduceAssignment/test2:7
key=9.   value=MapReduceAssignment/test1:38
key=35   value=MapReduceAssignment/test1:4
key=ending   value=MapReduceAssignment/test1:37, MapReduceAssignment/test3:4, MapReduceAssignment/test2:2
key=obtaining   value=MapReduceAssignment/test1:14, MapReduceAssignment/test3:2, MapReduceAssignment/test2:2
key=12.   value=MapReduceAssignment/test1:40
key=out   value=MapReduceAssignment/test1:54, MapReduceAssignment/test3:434, MapReduceAssignment/test2:194
key=41   value=MapReduceAssignment/test1:7
key=43   value=MapReduceAssignment/test1:2
key=bishop   value=MapReduceAssignment/test1:102, MapReduceAssignment/test3:4, MapReduceAssignment/test2:1
key=mate   value=MapReduceAssignment/test1:49, MapReduceAssignment/test3:1, MapReduceAssignment/test2:2
key=against   value=MapReduceAssignment/test1:92, MapReduceAssignment/test3:63, MapReduceAssignment/test2:50
key=iii   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:2
key=17.   value=MapReduceAssignment/test1:31
key=knights   value=MapReduceAssignment/test1:19, MapReduceAssignment/test3:3, MapReduceAssignment/test2:1
key=prominent   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:2
key=19.   value=MapReduceAssignment/test1:30
key=75   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1
key=initiative   value=MapReduceAssignment/test1:17
key=direct   value=MapReduceAssignment/test1:13, MapReduceAssignment/test3:15, MapReduceAssignment/test2:3
key=masse   value=MapReduceAssignment/test1:1
key=threatened   value=MapReduceAssignment/test1:15, MapReduceAssignment/test2:1
key=relinquishing   value=MapReduceAssignment/test1:3
key=cutting   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:5, MapReduceAssignment/test2:1
key=action   value=MapReduceAssignment/test1:27, MapReduceAssignment/test3:25
key=player's   value=MapReduceAssignment/test1:2
key=specimen   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:30
key=26.   value=MapReduceAssignment/test1:29
key=111   value=MapReduceAssignment/test1:1
key=safe   value=MapReduceAssignment/test1:10, MapReduceAssignment/test3:6, MapReduceAssignment/test2:5
key=28.   value=MapReduceAssignment/test1:29
key=29.   value=MapReduceAssignment/test1:26
key=two   value=MapReduceAssignment/test1:66, MapReduceAssignment/test3:336, MapReduceAssignment/test2:129
key=30.   value=MapReduceAssignment/test1:23
key=138   value=MapReduceAssignment/test1:1
key=example   value=MapReduceAssignment/test1:84, MapReduceAssignment/test3:3, MapReduceAssignment/test2:2
key=whilst   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=vi   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=salient   value=MapReduceAssignment/test1:2
key=143   value=MapReduceAssignment/test1:1
key=developments   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:5
key=(showing   value=MapReduceAssignment/test1:1
key=q   value=MapReduceAssignment/test1:1201, MapReduceAssignment/test2:1
key=power   value=MapReduceAssignment/test1:11, MapReduceAssignment/test3:54, MapReduceAssignment/test2:2
key=etc.)   value=MapReduceAssignment/test1:1
key=influence   value=MapReduceAssignment/test1:5, MapReduceAssignment/test3:16, MapReduceAssignment/test2:1
key=illustrative   value=MapReduceAssignment/test1:1
key=gambit   value=MapReduceAssignment/test1:11
key=1909)   value=MapReduceAssignment/test1:2
key=f.   value=MapReduceAssignment/test1:10, MapReduceAssignment/test3:13
key=(san   value=MapReduceAssignment/test1:4
